,斯坦纳点名称,区域,子区域,x,y
513,IDM1178,GSO,industrial,597302.24,3992750.68
514,IDM1179,GSO,industrial,597294.19,3992732.85
515,IDM1181,GSO,industrial,597580.52,3992725.03
516,IDM1182,GSO,industrial,597592.08,3992775.43
517,IDM1188,GSO,industrial,597249.95,3992634.76
518,IDM1189,GSO,industrial,597229.85,3992590.18
519,IDM1198,GSO,industrial,597196.66,3993015.15
520,IDM1204,GSO,industrial,596878.97,3993322.86
521,IDM1215,GSO,industrial,597125.3,3993046.97
522,IDM1218,GSO,industrial,597089.63,3993062.89
523,IDM1219,GSO,industrial,597143.14,3993039.02
524,IDM1221,GSO,industrial,597076.97,3993068.45
525,IDM1224,GSO,industrial,597064.31,3993074.01
526,IDM1225,GSO,industrial,597023.74,3993026.68
527,IDM1226,GSO,industrial,597555.8,3993875.24
528,IDM1228,GSO,industrial,597528.39,3993951.18
529,IDM1229,GSO,industrial,597581.4,3993897.49
