Node,OH,
SM861   ,A ,
SM862   ,S ,
SM863   ,A ,
SM864   ,A ,
SM865   ,A ,
SM866   ,S ,
SM867   ,S ,
SM868   ,A ,
SM869   ,S ,
SM870   ,S ,
SM871   ,S ,
SM872   ,S ,
SM873   ,S ,
SM874   ,S ,
SM875   ,S ,
SM876   ,S ,
SM877   ,S ,
SM878   ,S ,
SM879   ,S ,
SM880   ,S ,
SM881   ,A ,
SM882   ,S ,
SM883   ,S ,
SM884   ,S ,
SM885   ,S ,
SM886   ,S ,
SM887   ,S ,
SM888   ,S ,
SM889   ,S ,
SM890   ,S ,
SM891   ,A ,
SM892   ,S ,
SM893   ,A ,
SM894   ,A ,
SM895   ,S ,
SM896   ,A ,
SM897   ,A ,
SM898   ,S ,
SM899   ,A ,
SM900   ,A ,
SM901   ,S ,
SM902   ,A ,
SM903   ,A ,
SM904   ,A ,
SM905   ,S ,
SM906   ,S ,
SM907   ,A ,
SM908   ,S ,
SM909   ,S ,
SM910   ,A ,
SM911   ,A ,
SM912   ,A ,
SM913   ,S ,
SM914   ,S ,
SM915   ,S ,
SM916   ,A ,
SM917   ,A ,
SM918   ,A ,
SM919   ,S ,
SM920   ,A ,
SM921   ,A ,
SM922   ,S ,
SM923   ,A ,
SM924   ,A ,
SM925   ,S ,
SM926   ,S ,
SM927   ,A ,
SM928   ,S ,
SM929   ,A ,
SM930   ,S ,
SM931   ,A ,
SM932   ,A ,
SM933   ,S ,
SM934   ,A ,
SM935   ,S ,
SM936   ,A ,
SM937   ,S ,
SM938   ,A ,
SM939   ,A ,
SM940   ,A ,
SM941   ,S ,
SM942   ,A ,
SM943   ,A ,
SM944   ,S ,
SM945   ,A ,
SM946   ,S ,
SM947   ,S ,
SM948   ,A ,
SM949   ,S ,
SM950   ,A ,
SM951   ,S ,
SM952   ,A ,
SM953   ,A ,
SM954   ,A ,
SM955   ,A ,
SM956   ,A ,
SM957   ,A ,
SM958   ,S ,
SM959   ,A ,
SM960   ,S ,
SM961   ,S ,
SM962   ,A ,
SM963   ,S ,
SM964   ,A ,
SM965   ,A ,
SM966   ,A ,
SM967   ,A ,
SM968   ,S ,
SM969   ,A ,
SM970   ,S ,
SM971   ,S ,
SM972   ,A ,
SM973   ,A ,
SM974   ,S ,
SM975   ,A ,
SM976   ,A ,
SM977   ,A ,
SM978   ,A ,
SM979   ,A ,
SM980   ,S ,
SM981   ,S ,
SM982   ,S ,
SM983   ,A ,
SM984   ,A ,
SM985   ,S ,
SM986   ,A ,
SM987   ,A ,
SM988   ,A ,
SM989   ,A ,
SM990   ,S ,
SM991   ,S ,
SM992   ,S ,
SM993   ,A ,
SM994   ,A ,
SM995   ,A ,
SM996   ,S ,
SM997   ,A ,
SM998   ,A ,
SM999   ,A ,
SM1000  ,A ,
SM1001  ,A ,
SM1002  ,S ,
SM1003  ,S ,
SM1004  ,S ,
SM1005  ,A ,
SM1006  ,A ,
SM1007  ,S ,
SM1008  ,A ,
SM1009  ,A ,
SM1010  ,A ,
SM1011  ,A ,
SM1012  ,A ,
SM1013  ,S ,
SM1014  ,S ,
SM1016  ,A ,
SM1017  ,A ,
SM1018  ,A ,
SM1019  ,S ,
SM1020  ,A ,
SM1021  ,A ,
SM1022  ,A ,
SM1023  ,A ,
SM1024  ,S ,
SM1025  ,A ,
SM1026  ,A ,
SM1027  ,S ,
SM1028  ,A ,
SM1029  ,S ,
SM1030  ,A ,
SM1031  ,A ,
SM1032  ,S ,
SM1033  ,A ,
SM1034  ,A ,
SM1035  ,A ,
SM1036  ,S ,
SM1037  ,S ,
SM1038  ,A ,
SM1039  ,A ,
SM1040  ,S ,
SM1041  ,A ,
SM1042  ,S ,
SM1043  ,A ,
SM1044  ,A ,
SM1045  ,A ,
SM1046  ,A ,
SM1047  ,A ,
SM1048  ,S ,
SM1050  ,A ,
SM1051  ,A ,
SM1052  ,A ,
SM1053  ,A ,
SM1054  ,S ,
SM1055  ,A ,
SM1056  ,A ,
SM1057  ,A ,
SM1058  ,A ,
SM1059  ,A ,
SM1060  ,S ,
SM1061  ,A ,
SM1062  ,S ,
SM1064  ,A ,
SM1065  ,A ,
SM1066  ,A ,
SM1067  ,A ,
SM1068  ,A ,
SM1069  ,A ,
SM1070  ,A ,
SM1071  ,A ,
SM1072  ,A ,
SM1073  ,A ,
SM1074  ,S ,
SM1075  ,A ,
SM1076  ,A ,
SM1077  ,A ,
SM1078  ,A ,
SM1079  ,S ,
SM1080  ,A ,
SM1081  ,S ,
SM1083  ,A ,
SM1084  ,A ,
SM1085  ,A ,
SM1086  ,A ,
SM1087  ,A ,
SM1088  ,A ,
SM1089  ,S ,
SM1090  ,A ,
SM1091  ,S ,
SM1092  ,S ,
SM1093  ,A ,
SM1094  ,A ,
SM1095  ,A ,
SM1096  ,A ,
SM1097  ,A ,
SM1098  ,A ,
SM1099  ,A ,
SM1100  ,S ,
SM1101  ,S ,
SM1102  ,A ,
SM1103  ,A ,
SM1104  ,A ,
SM1105  ,A ,
SM1106  ,S ,
SM1107  ,A ,
SM1108  ,A ,
SM1109  ,A ,
SM1110  ,A ,
SM1111  ,A ,
SM1112  ,A ,
SM1113  ,A ,
SM1114  ,A ,
SM1115  ,S ,
SM1116  ,S ,
SM1117  ,A ,
SM1118  ,S ,
SM1119  ,A ,
SM1120  ,A ,
SM1121  ,A ,
SM1122  ,A ,
SM1123  ,A ,
SM1124  ,A ,
SM1125  ,A ,
SM1126  ,S ,
SM1127  ,S ,
SM1128  ,S ,
SM1129  ,A ,
SM1130  ,A ,
SM1131  ,A ,
SM1132  ,A ,
SM1133  ,A ,
SM1134  ,S ,
SM1135  ,A ,
SM1136  ,A ,
SM1137  ,S ,
SM1138  ,A ,
SM1139  ,A ,
SM1140  ,A ,
SM1141  ,A ,
SM1142  ,A ,
SM1143  ,S ,
SM1144  ,A ,
SM1145  ,S ,
SM1146  ,S ,
SM1147  ,A ,
SM1148  ,A ,
SM1149  ,A ,
SM1150  ,A ,
SM1151  ,S ,
SM1152  ,A ,
SM1153  ,A ,
SM1154  ,S ,
SM1155  ,A ,
SM1156  ,S ,
SM1157  ,A ,
SM1158  ,A ,
SM1159  ,S ,
SM1160  ,A ,
SM1161  ,A ,
SM1162  ,A ,
SM1163  ,S ,
SM1164  ,A ,
SM1165  ,A ,
SM1166  ,S ,
SM1167  ,A ,
SM1168  ,A ,
SM1169  ,A ,
SM1170  ,A ,
SM1171  ,S ,
SM1172  ,A ,
SM1173  ,A ,
SM1174  ,A ,
SM1175  ,S ,
SM1176  ,A ,
SM1177  ,A ,
SM1178  ,S ,
SM1179  ,A ,
SM1180  ,A ,
SM1181  ,A ,
SM1182  ,A ,
SM1183  ,A ,
SM1184  ,S ,
SM1185  ,S ,
SM1186  ,A ,
SM1187  ,A ,
SM1188  ,A ,
SM1189  ,S ,
SM1190  ,A ,
SM1191  ,A ,
SM1192  ,A ,
SM1193  ,S ,
SM1194  ,A ,
SM1195  ,A ,
SM1196  ,A ,
SM1197  ,A ,
SM1198  ,A ,
SM1199  ,A ,
SM1200  ,S ,
SM1201  ,A ,
SM1202  ,A ,
SM1203  ,S ,
SM1204  ,A ,
SM1205  ,A ,
SM1206  ,A ,
SM1207  ,A ,
SM1208  ,A ,
SM1209  ,S ,
SM1210  ,A ,
SM1211  ,A ,
SM1212  ,A ,
SM1213  ,A ,
SM1214  ,A ,
SM1215  ,A ,
SM1216  ,A ,
SM1217  ,A ,
SM1218  ,A ,
SM1219  ,A ,
SM1220  ,S ,
SM1221  ,A ,
SM1222  ,A ,
SM1223  ,A ,
SM1224  ,A ,
SM1225  ,A ,
SM1226  ,A ,
SM1227  ,S ,
SM1228  ,S ,
SM1229  ,S ,
SM1230  ,S ,
SM1231  ,A ,
SM1232  ,A ,
SM1233  ,A ,
SM1234  ,A ,
SM1235  ,S ,
SM1236  ,A ,
SM1237  ,A ,
SM1238  ,A ,
SM1239  ,S ,
SM1240  ,A ,
SM1241  ,S ,
SM1242  ,S ,
SM1243  ,A ,
SM1244  ,S ,
SM1245  ,A ,
SM1246  ,S ,
SM1247  ,A ,
SM1248  ,A ,
SM1249  ,A ,
SM1250  ,S ,
SM1251  ,S ,
SM1252  ,A ,
SM1253  ,S ,
SM1254  ,A ,
SM1255  ,S ,
SM1256  ,A ,
SM1257  ,A ,
SM1258  ,A ,
SM1259  ,A ,
SM1260  ,S ,
SM1261  ,A ,
SM1262  ,A ,
SM1263  ,A ,
SM1264  ,S ,
SM1265  ,S ,
SM1266  ,A ,
SM1267  ,A ,
SM1268  ,S ,
SM1269  ,S ,
SM1270  ,A ,
SM1271  ,A ,
SM1272  ,S ,
SM1273  ,A ,
SM1274  ,S ,
SM1275  ,A ,
SM1276  ,A ,
SM1277  ,S ,
SM1278  ,S ,
SM1279  ,A ,
SM1280  ,S ,
SM1281  ,S ,
SM1282  ,S ,
SM1283  ,S ,
SM1284  ,S ,
SM1285  ,S ,
SM1286  ,S ,
SM1287  ,A ,
SM1288  ,S ,
SM1289  ,S ,
SM1290  ,S ,
SM1291  ,S ,
SM1292  ,S ,
SM1293  ,S ,
SM1294  ,A ,
SM1295  ,S ,
SM1296  ,A ,
SM1297  ,S ,
SM1298  ,A ,
SM1299  ,S ,
SM1300  ,S ,
SM1301  ,S ,
SM1302  ,S ,
SM1303  ,S ,
SM1304  ,S ,
SM1305  ,S ,
SM1306  ,S ,
SM1307  ,S ,
SM1308  ,A ,
SM1309  ,A ,
SM1310  ,S ,
SM1311  ,S ,
